Element Id,Family,Type,Level,Angle,Angle 1,Area,Category,Center Radius,Center to End,Center to End Label,Center to Socket Bottom,Center to Socket Bottom Label,Center to Socket Bottom Not Found,Comments,Design Option,Elevation from Level,Export to IFC,Export to IFC As,Family and Type,Family Name,Fitting Outside Diameter,Fitting Outside Diameter 1,Fitting Outside Diameter 2,Fitting Outside Radius,Fitting Outside Radius 1,Fitting Outside Radius 2,Head Height,Head Width,Height,Height Offset,Host Id,IFC Predefined Type,IfcGUID,Image,Insulation Thickness,Insulation Type,IsCustom,Length,Length 1,Length 10,Length 11,Length 12,Length 2,Length 3,Length 4,Length 5,Length 6,Length 7,Length 8,Length 9,Loss Method,Loss Method Settings,Mark,Max Fitting Outside Diameter 12,Max Nominal Diameter 12,Maximum Size,Min Nominal Diameter 12,Minimum Size,Nominal Diameter,Nominal Diameter 1,Nominal Diameter 2,Nominal Radius,Nominal Radius 1,Nominal Radius 2,OffsetHeight,OffsetWidth,Overall Size,Phase Created,Phase Demolished,Pressure Drop,Radius 1,Radius 2,Size,Socket Bottom to Socket Bottom Run,Socket Depth,Socket Depth 1,Socket Depth 2,Socket Entrance Diameter,Socket Entrance Diameter 1,Socket Entrance Diameter 2,Socket Outside Diameter,Socket Outside Diameter 1,Socket Outside Diameter 2,Socket Outside Radius,Socket Outside Radius 1,Socket Outside Radius 2,SU/SD from Bottom,SU/SD from Top,System Abbreviation,System Classification,System Name,System Type,Thread Length,Tick Size,Tick Size 1,Tick Size 2,Type Id,Type Name,Use Annotation Scale,Visibility 1,Visibility 2,Visibility 3,Volume,Wall Thickness,Wall Thickness 1,Wall Thickness 2,Width Offset
1454887,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"3' - 7""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMCg,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 9,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1454911,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"2' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMCo,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.39 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455034,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"7/8""","7/8""",,,,,,,"11' - 0 1/2""",0,,Standard,,"1 1/8""",,,"5/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMEt,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1""",,"1""","1""",,,"1/2""",,,,,"1""ø-1""ø",New Construction,,0.34 psi,,,"1""ø-1""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/2""",,,Standard,,Yes,,,,0.00 CF,,,,
1455252,Elbow - Generic,Standard,L3,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMIP,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 11,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455256,Elbow - Generic,Standard,L3,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMIL,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 11,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455309,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMJ0,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 9,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455311,Tee - Generic,Standard,L4,90.00°,90.00°,,-2008049,,"7/8""","7/8""",,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMJ2,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø-1/2""ø",New Construction,,,,,"1/2""ø-1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455356,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"0' - 8""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMJn,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,2.65 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455398,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMKh,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,2.65 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455430,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMLB,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 9,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455497,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"10' - 11 5/32""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMM4,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 9,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455499,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"10' - 11 5/32""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMM6,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 9,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1455524,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"11' - 0 1/2""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMMf,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,2.65 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1456189,Elbow - Generic,Standard,L3,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"10' - 11 5/32""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMWm,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 11,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1456195,Elbow - Generic,Standard,L3,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"3' - 7""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,2xx9k4jcL0MOLa9uNdIMXE,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 11,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1467683,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"2 3/8""","2 3/8""",,,,,,,"-1' - 5""",0,,Standard,,"4 1/8""",,,"2 1/8""",,,,,,,,,23EU9ZosXC$Propq92ib5_,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,,,,,,,,,,,,,,,,Sanitary,Building Sanitary,Sanitary,,"1 5/8""",,,Standard,,Yes,,,,0.03 CF,,,,
1468141,Tee Sanitary - PVC - Sch 40 - DWV,Standard,L4,90.00°,,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""",,,,"11' - 5""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,23EU9ZosXC$Propq92ibAm,,"0""",,,,"186 1/8""","2 1/2""","1 3/4""","1 3/4""","183 7/8""","3 7/8""","183 7/8""","5 5/8""","187 7/8""","6 3/8""","3 7/8""","0""",3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø-4""ø",New Construction,,,"2 1/2""","2 1/2""","4""ø-4""ø-4""ø","6 1/8""","1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.17 CF,"1/4""",,,
