Element Id,Family,Type,Level,Angle,Angle 1,Area,Category,Center Radius,Center to End,Center to End Label,Center to Socket Bottom,Center to Socket Bottom Label,Center to Socket Bottom Not Found,Comments,Design Option,Elevation from Level,Export to IFC,Export to IFC As,Family and Type,Family Name,Fitting Outside Diameter,Fitting Outside Diameter 1,Fitting Outside Diameter 2,Fitting Outside Radius,Fitting Outside Radius 1,Fitting Outside Radius 2,Head Height,Head Width,Height,Height Offset,Host Id,IFC Predefined Type,IfcGUID,Image,Insulation Thickness,Insulation Type,IsCustom,Length,Length 1,Length 10,Length 11,Length 12,Length 2,Length 3,Length 4,Length 5,Length 6,Length 7,Length 8,Length 9,Loss Method,Loss Method Settings,Mark,Max Fitting Outside Diameter 12,Max Nominal Diameter 12,Maximum Size,Min Nominal Diameter 12,Minimum Size,Nominal Diameter,Nominal Diameter 1,Nominal Diameter 2,Nominal Radius,Nominal Radius 1,Nominal Radius 2,OffsetHeight,OffsetWidth,Overall Size,Phase Created,Phase Demolished,Pressure Drop,Radius 1,Radius 2,Size,Socket Bottom to Socket Bottom Run,Socket Depth,Socket Depth 1,Socket Depth 2,Socket Entrance Diameter,Socket Entrance Diameter 1,Socket Entrance Diameter 2,Socket Outside Diameter,Socket Outside Diameter 1,Socket Outside Diameter 2,Socket Outside Radius,Socket Outside Radius 1,Socket Outside Radius 2,SU/SD from Bottom,SU/SD from Top,System Abbreviation,System Classification,System Name,System Type,Thread Length,Tick Size,Tick Size 1,Tick Size 2,Type Id,Type Name,Use Annotation Scale,Visibility 1,Visibility 2,Visibility 3,Volume,Wall Thickness,Wall Thickness 1,Wall Thickness 2,Width Offset
1400457,Cap - Generic,Standard,Parking,,,,-2008049,,,,,,,,,"4' - 0""",0,,Standard,,"6 1/8""",,,"3 1/8""",,,,,"3 1/8""",,,,1cvCN3rmPEdhdjXPWnDLCz,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"6""",,"6""","6""",,,"3""",,,,,"6""ø",New Construction,,0.00 psi,,,"6""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,,,,Standard,,Yes,,,,0.05 CF,,,,
1403199,Cap - Generic,Standard,Parking,,,,-2008049,,,,,,,,,"3' - 0""",0,,Standard,,"6 1/8""",,,"3 1/8""",,,,,"3 1/8""",,,,1cvCN3rmPEdhdjXPWnDMIB,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"6""",,"6""","6""",,,"3""",,,,,"6""ø",New Construction,,0.00 psi,,,"6""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,,,,Standard,,Yes,,,,0.05 CF,,,,
1406955,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"7/8""","7/8""",,,,,,,"11' - 5""",0,,Standard,,"1 1/8""",,,"5/8""",,,,,,,,,2Y8MfyZKz4UgPr5TChLk_e,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1""",,"1""","1""",,,"1/2""",,,,,"1""ø-1""ø",New Construction,,1.50 psi,,,"1""ø-1""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/2""",,,Standard,,Yes,,,,0.00 CF,,,,
1406993,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"7/8""","7/8""",,,,,,,"11' - 5""",0,,Standard,,"1 1/8""",,,"5/8""",,,,,,,,,2Y8MfyZKz4UgPr5TChLk1I,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1""",,"1""","1""",,,"1/2""",,,,,"1""ø-1""ø",New Construction,,1.50 psi,,,"1""ø-1""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/2""",,,Standard,,Yes,,,,0.00 CF,,,,
1406999,Elbow - Generic,Standard,L4,90.00°,,,-2008049,"7/8""","7/8""",,,,,,,"11' - 5""",0,,Standard,,"1 1/8""",,,"5/8""",,,,,,,,,2Y8MfyZKz4UgPr5TChLk1K,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1""",,"1""","1""",,,"1/2""",,,,,"1""ø-1""ø",New Construction,,1.50 psi,,,"1""ø-1""ø",,,,,,,,,,,,,,,,,Domestic Cold Water,Domestic Cold Water 1,Domestic Cold Water,,"1/2""",,,Standard,,Yes,,,,0.00 CF,,,,
1429590,Elbow - Generic,Standard,R2,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"3' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr7VY,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,1.03 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1429602,Elbow - Generic,Standard,R2,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"3' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr7VM,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,1.03 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1430354,Elbow - Generic,Standard,R2,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"2' - 0""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr7Jc,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,1.03 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1430488,Elbow - Generic,Standard,R2,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 4""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr7Hi,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,1.03 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1430881,Elbow - Generic,Standard,R2,55.00°,,,-2008049,"5/8""","1/4""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr7BL,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.24 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/8""",,,Standard,,Yes,,,,0.00 CF,,,,
1431248,Elbow - Generic,Standard,R2,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr75a,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1431265,Tee - Generic,Standard,R2,90.00°,90.00°,,-2008049,,"7/8""","7/8""",,,,,,"1' - 4""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr75L,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø-1/2""ø",New Construction,,,,,"1/2""ø-1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1431330,Elbow - Generic,Standard,R2,45.00°,,,-2008049,"5/8""","1/4""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr72M,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.20 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/8""",,,Standard,,Yes,,,,0.00 CF,,,,
1431383,Elbow - Generic,Standard,R2,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 4""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr73Z,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1431387,Elbow - Generic,Standard,R2,90.00°,,,-2008049,"5/8""","5/8""",,,,,,,"1' - 6""",0,,Standard,,"5/8""",,,"3/8""",,,,,,,,,08kPbYUAn5buKbmnFnr73l,,"0""",,,,,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"1/2""",,"1/2""","1/2""",,,"1/4""",,,,,"1/2""ø-1/2""ø",New Construction,,0.38 psi,,,"1/2""ø-1/2""ø",,,,,,,,,,,,,,,,,Domestic Hot Water,Domestic Hot Water 2,Domestic Hot Water,,"1/4""",,,Standard,,Yes,,,,0.00 CF,,,,
1431449,Tee Sanitary - PVC - Sch 40 - DWV,Standard,R2,90.00°,,,-2008049,"2 3/8""",,,"2 3/8""","2 3/8""",,,,"0' - 8""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,3_2CJkCejFtvWrDcbJe$mx,,"0""",,,,"183 3/4""","1 3/8""","3/4""","3/4""","182 3/8""","2 3/8""","182 3/8""","3 1/8""","184 1/2""","3 5/8""","2 3/8""","0""",3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø-2""ø",New Construction,,,"1 3/8""","1 3/8""","2""ø-2""ø-2""ø","3 3/4""","3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.03 CF,"1/8""",,,
1431596,Bend - PVC - Sch 40 - DWV,Standard,R2,90.00°,90.00°,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""","3 5/8""",,,"-2' - 10""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,3_2CJkCejFtvWrDcbJe$EE,,"0""",,,,"3 7/8""",,,,"5 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.10 CF,"1/4""",,,
1432046,Bend - PVC - Sch 40 - DWV,Standard,L5,90.00°,90.00°,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""","3 5/8""",,,"10' - 6""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8Opavb,,"0""",,,,"3 7/8""",,,,"5 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.10 CF,"1/4""",,,
1432088,Bend - PVC - Sch 40 - DWV,Standard,L5,45.00°,45.00°,,-2008049,"5 1/4""",,,"2 1/4""","2 1/4""","2 1/4""",,,"-1' - 6""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8OpasJ,,"0""",,,,"5""",,,,"2 3/4""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.08 CF,"1/4""",,,
1432239,Bend - PVC - Sch 40 - DWV,Standard,L5,90.00°,90.00°,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""","3 5/8""",,,"10' - 6""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8Opaqa,,"0""",,,,"3 7/8""",,,,"5 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.10 CF,"1/4""",,,
1432361,Tee Sanitary - PVC - Sch 40 - DWV,Standard,R2,90.00°,,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""",,,,"-2' - 10""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8OpaoY,,"0""",,,,"186 1/8""","2 1/2""","1 3/4""","1 3/4""","183 7/8""","3 7/8""","183 7/8""","5 5/8""","187 7/8""","6 3/8""","3 7/8""","0""",3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø-4""ø",New Construction,,,"2 1/2""","2 1/2""","4""ø-4""ø-4""ø","6 1/8""","1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.17 CF,"1/4""",,,
1432392,Bend - PVC - Sch 40 - DWV,Standard,R2,90.00°,90.00°,,-2008049,"2 3/8""",,,"2 3/8""","2 3/8""","2 1/4""",,,"-2' - 10""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,2sUXW2OePBX9trqG8Opap3,,"0""",,,,"2 3/8""",,,,"3 1/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø",New Construction,,0.00 psi,,,"2""ø-2""ø",,"3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.01 CF,"1/8""",,,
1432396,Reducer - PVC - Sch 40 - DWV,Standard,L5,,,0 SF,-2008049,,,,,,,,,"10' - 6""",0,,Standard,,,"2 3/8""","4 1/2""",,"1 1/4""","2 1/4""",,,,"120""",,,2sUXW2OePBX9trqG8Opap7,,"0""",,,"3 7/8""",,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,"4""","4""","2""","2""",,"2""","4""",,"1""","2""","1""","1""","4""ø-2""ø",New Construction,,0.00 psi,,,"4""ø-2""ø",,,"3/4""","1 3/4""",,"2 3/8""","4 1/2""",,"2 3/4""","5""",,"1 3/8""","2 1/2""",,,,Sanitary,Building Sanitary,Sanitary,,,"1""","1 3/4""",Standard,,Yes,No,No,Yes,0.03 CF,,"1/8""","1/4""","120"""
1432619,Tee Sanitary - PVC - Sch 40 - DWV,Standard,L4,90.00°,,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""",,,,"-0' - 10 3/4""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8OpakW,,"0""",,,,"186 1/8""","2 1/2""","1 3/4""","1 3/4""","183 7/8""","3 7/8""","183 7/8""","5 5/8""","187 7/8""","6 3/8""","3 7/8""","0""",3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø-4""ø",New Construction,,,"2 1/2""","2 1/2""","4""ø-4""ø-4""ø","6 1/8""","1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.17 CF,"1/4""",,,
1432623,Bend - PVC - Sch 40 - DWV,Standard,L4,90.00°,90.00°,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""","3 5/8""",,,"-0' - 10 3/4""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8Opaka,,"0""",,,,"3 7/8""",,,,"5 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.10 CF,"1/4""",,,
1433074,Bend - PVC - Sch 40 - DWV,Standard,L4,45.00°,45.00°,,-2008049,"5 1/4""",,,"2 1/4""","2 1/4""","2 1/4""",,,"-1' - 10 3/8""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8Opafv,,"0""",,,,"5""",,,,"2 3/4""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.08 CF,"1/4""",,,
1433129,Bend - PVC - Sch 40 - DWV,Standard,L4,45.00°,45.00°,,-2008049,"5 1/4""",,,"2 1/4""","2 1/4""","2 1/4""",,,"-1' - 0 1/2""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8OpacY,,"0""",,,,"5""",,,,"2 3/4""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.08 CF,"1/4""",,,
1433139,Bend - PVC - Sch 40 - DWV,Standard,L4,45.00°,45.00°,,-2008049,"5 1/4""",,,"2 1/4""","2 1/4""","2 1/4""",,,"-1' - 9 3/8""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8Opacu,,"0""",,,,"5""",,,,"2 3/4""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,0.00 psi,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.08 CF,"1/4""",,,
1433266,Bend - PVC - Sch 40 - DWV,Standard,L4,45.00°,45.00°,,-2008049,"5 1/4""",,,"2 1/4""","2 1/4""","2 1/4""",,,"-3' - 0 5/8""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,2sUXW2OePBX9trqG8Opaav,,"0""",,,,"5""",,,,"2 3/4""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø",New Construction,,,,,"4""ø-4""ø",,"1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.08 CF,"1/4""",,,
1433829,Bend - PVC - Sch 40 - DWV,Standard,L4,90.00°,90.00°,,-2008049,"2 3/8""",,,"2 3/8""","2 3/8""","2 1/4""",,,"0' - 8""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,0H8$1hpsT7phV4HoxvmqCr,,"0""",,,,"2 3/8""",,,,"3 1/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø",New Construction,,0.00 psi,,,"2""ø-2""ø",,"3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.01 CF,"1/8""",,,
1434037,Bend - PVC - Sch 40 - DWV,Standard,L4,90.00°,90.00°,,-2008049,"2 3/8""",,,"2 3/8""","2 3/8""","2 1/4""",,,"-2' - 0""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,0H8$1hpsT7phV4Hoxvmq9b,,"0""",,,,"2 3/8""",,,,"3 1/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø",New Construction,,0.00 psi,,,"2""ø-2""ø",,"3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.01 CF,"1/8""",,,
1434087,Bend - PVC - Sch 40 - DWV,Standard,L4,45.00°,45.00°,,-2008049,"3 5/8""",,,"1 1/2""","1 1/2""","1 3/8""",,,"-2' - 0""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,0H8$1hpsT7phV4Hoxvmq8t,,"0""",,,,"3 1/8""",,,,"1 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø",New Construction,,0.00 psi,,,"2""ø-2""ø",,"3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.01 CF,"1/8""",,,
1434096,Bend - PVC - Sch 40 - DWV,Standard,L3,45.00°,45.00°,,-2008049,"3 5/8""",,,"1 1/2""","1 1/2""","1 3/8""",,,"11' - 4""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,0H8$1hpsT7phV4Hoxvmq8W,,"0""",,,,"3 1/8""",,,,"1 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø",New Construction,,0.00 psi,,,"2""ø-2""ø",,"3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.01 CF,"1/8""",,,
1434163,Bend - PVC - Sch 40 - DWV,Standard,L3,45.00°,45.00°,,-2008049,"3 5/8""",,,"1 1/2""","1 1/2""","1 3/8""",,,"11' - 4""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,0H8$1hpsT7phV4Hoxvmq7Z,,"0""",,,,"3 1/8""",,,,"1 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø",New Construction,,0.00 psi,,,"2""ø-2""ø",,"3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.01 CF,"1/8""",,,
1434185,Tee Sanitary - PVC - Sch 40 - DWV,Standard,L3,90.00°,,,-2008049,"3 7/8""",,,"3 7/8""","3 7/8""",,,,"10' - 4 11/16""",0,,Standard,,"4 1/2""",,,"2 1/4""",,,,,,,,,0H8$1hpsT7phV4Hoxvmq6P,,"0""",,,,"186 1/8""","2 1/2""","1 3/4""","1 3/4""","183 7/8""","3 7/8""","183 7/8""","5 5/8""","187 7/8""","6 3/8""","3 7/8""","0""",3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"4""",,"4""","4""",,,"2""",,,,,"4""ø-4""ø-4""ø",New Construction,,,"2 1/2""","2 1/2""","4""ø-4""ø-4""ø","6 1/8""","1 3/4""",,,"4 1/2""",,,"5""",,,"2 1/2""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1 3/4""",,,Standard,,Yes,,,,0.17 CF,"1/4""",,,
1434193,Reducer - PVC - Sch 40 - DWV,Standard,L3,,,0 SF,-2008049,,,,,,,,,"10' - 4 11/16""",0,,Standard,,,"4 1/2""","2 3/8""",,"2 1/4""","1 1/4""",,,,"120""",,,0H8$1hpsT7phV4Hoxvmq61,,"0""",,,"3 7/8""",,,,,,,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,"4""","4""","2""","2""",,"4""","2""",,"2""","1""","2""","2""","4""ø-2""ø",New Construction,,0.00 psi,,,"4""ø-2""ø",,,"1 3/4""","3/4""",,"4 1/2""","2 3/8""",,"5""","2 3/4""",,"2 1/2""","1 3/8""",,,,Sanitary,Building Sanitary,Sanitary,,,"1 3/4""","1""",Standard,,Yes,No,Yes,No,0.03 CF,,"1/4""","1/8""","120"""
1434195,Bend - PVC - Sch 40 - DWV,Standard,L3,45.00°,45.00°,,-2008049,"3 5/8""",,,"1 1/2""","1 1/2""","1 3/8""",,,"10' - 4 11/16""",0,,Standard,,"2 3/8""",,,"1 1/4""",,,,,,,,,0H8$1hpsT7phV4Hoxvmq63,,"0""",,,,"3 1/8""",,,,"1 5/8""",,,,,,,,3bf616f9-6b98-4a21-80ff-da1120c8f6d6,,,,,"2""",,"2""","2""",,,"1""",,,,,"2""ø-2""ø",New Construction,,0.00 psi,,,"2""ø-2""ø",,"3/4""",,,"2 3/8""",,,"2 3/4""",,,"1 3/8""",,,,,,Sanitary,Building Sanitary,Sanitary,,"1""",,,Standard,,Yes,,,,0.01 CF,"1/8""",,,
